,Unnamed: 0,Category,Service Term,Prompt,Claude
0,1,General,robotaxi,"Rank the top 5 robotaxi companies in the US today. Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Zoox', 4: 'Motional', 5: 'Aurora'}"
1,2,General,self-driving car,"Rank the top 5 self-driving car companies in the US today. Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Tesla', 4: 'Zoox', 5: 'Aurora'}"
2,3,General,autonomous vehicle,"Rank the top 5 autonomous vehicle companies in the US today. Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Tesla', 4: 'Zoox', 5: 'Aurora'}"
3,4,General,driverless car,"Rank the top 5 driverless car companies in the US today. Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Tesla', 4: 'Zoox', 5: 'Aurora'}"
4,5,Safety,robotaxi,"Which robotaxi companies are considered the safest in the industry? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Zoox', 3: 'Motional', 4: 'Aurora', 5: 'Cruise'}"
5,6,Safety,self-driving car,"Which self-driving car companies are considered the safest in the industry? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Zoox', 3: 'Motional', 4: 'Aurora', 5: 'Tesla'}"
6,7,Safety,autonomous vehicle,"Which autonomous vehicle companies are considered the safest in the industry? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Zoox', 3: 'Motional', 4: 'Aurora', 5: 'Tesla'}"
7,8,Safety,driverless car,"Which driverless car companies are considered the safest in the industry? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Zoox', 3: 'Motional', 4: 'Aurora', 5: 'Tesla'}"
8,9,Safety,robotaxi,"Considering crash avoidance, system redundancy, and public safety reports, which are the safest robotaxi companies today? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Zoox', 3: 'Motional', 4: 'Aurora', 5: 'Argo AI'}"
9,10,Safety,self-driving car,"Considering crash avoidance, system redundancy, and public safety reports, which are the safest self-driving car companies today? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Zoox', 3: 'Motional', 4: 'Aurora', 5: 'Mobileye'}"
