Unnamed: 0,Category,Service Term,Prompt
1,General,robotaxi,"Rank the top 5 robotaxi companies in the US today. Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
2,General,self-driving car,"Rank the top 5 self-driving car companies in the US today. Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
3,General,autonomous vehicle,"Rank the top 5 autonomous vehicle companies in the US today. Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
4,General,driverless car,"Rank the top 5 driverless car companies in the US today. Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
5,Safety,robotaxi,"Which robotaxi companies are considered the safest in the industry? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
6,Safety,self-driving car,"Which self-driving car companies are considered the safest in the industry? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
7,Safety,autonomous vehicle,"Which autonomous vehicle companies are considered the safest in the industry? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
8,Safety,driverless car,"Which driverless car companies are considered the safest in the industry? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
9,Safety,robotaxi,"Considering crash avoidance, system redundancy, and public safety reports, which are the safest robotaxi companies today? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
10,Safety,self-driving car,"Considering crash avoidance, system redundancy, and public safety reports, which are the safest self-driving car companies today? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
11,Safety,autonomous vehicle,"Considering crash avoidance, system redundancy, and public safety reports, which are the safest autonomous vehicle companies today? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
12,Safety,driverless car,"Considering crash avoidance, system redundancy, and public safety reports, which are the safest driverless car companies today? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
13,Technology,robotaxi,"Which robotaxi companies have the most advanced self-driving technology? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
14,Technology,self-driving car,"Which self-driving car companies have the most advanced self-driving technology? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
15,Technology,autonomous vehicle,"Which autonomous vehicle companies have the most advanced self-driving technology? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
16,Technology,driverless car,"Which driverless car companies have the most advanced self-driving technology? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
17,Technology,robotaxi,"Based on the quality and innovation of their autonomous driving systems, which are the most technologically advanced robotaxi companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
18,Technology,self-driving car,"Based on the quality and innovation of their autonomous driving systems, which are the most technologically advanced self-driving car companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
19,Technology,autonomous vehicle,"Based on the quality and innovation of their autonomous driving systems, which are the most technologically advanced autonomous vehicle companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
20,Technology,driverless car,"Based on the quality and innovation of their autonomous driving systems, which are the most technologically advanced driverless car companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
21,Availability,robotaxi,"Which robotaxi companies have the widest operational availability in terms of cities and regions? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
22,Availability,self-driving car,"Which self-driving car companies have the widest operational availability in terms of cities and regions? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
23,Availability,autonomous vehicle,"Which autonomous vehicle companies have the widest operational availability in terms of cities and regions? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
24,Availability,driverless car,"Which robotaxi companies have the widest operational availability in terms of cities and regions? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
25,Availability,robotaxi,"Considering geographic coverage and fleet size, which robotaxi companies are most available to the public? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
26,Availability,self-driving car,"Considering geographic coverage and fleet size, which self-driving car companies are most available to the public? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
27,Availability,autonomous vehicle,"Considering geographic coverage and fleet size, which autonomous vehicle companies are most available to the public? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
28,Availability,driverless car,"Considering geographic coverage and fleet size, which driverless car companies are most available to the public? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
29,Service,robotaxi,"Which robotaxi companies offer the best overall customer service experience? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
30,Service,self-driving car,"Which self-driving car companies offer the best overall customer service experience? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
31,Service,autonomous vehicle,"Which autonomous vehicle companies offer the best overall customer service experience? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
32,Service,driverless car,"Which driverless car companies offer the best overall customer service experience? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
33,Service,robotaxi,"Based on what users say about the experience, which are the most customer satisfactory robotaxi companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
34,Service,self-driving car,"Based on what users say about the experience, which are the most customer satisfactory self-driving car companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
35,Service,autonomous vehicle,"Based on what users say about the experience, which are the most customer satisfactory autonomous vehicle companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
36,Service,driverless car,"Based on what users say about the experience, which are the most customer satisfactory driverless car companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
37,Pricing,robotaxi,"Which robotaxi companies offer the most competitive pricing for customers? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
38,Pricing,self-driving car,"Which self-driving car companies offer the most competitive pricing for customers? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
39,Pricing,autonomous vehicle,"Which autonomous vehicle companies offer the most competitive pricing for customers? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
40,Pricing,driverless car,"Which driverless car companies offer the most competitive pricing for customers? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
41,Pricing,robotaxi,"Based on affordability and value for money, which are the most budget-friendly robotaxi companies for everyday users? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
42,Pricing,self-driving car,"Based on affordability and value for money, which are the most budget-friendly self-driving car companies for everyday users? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
43,Pricing,autonomous vehicle,"Based on affordability and value for money, which are the most budget-friendly autonomous vehicle companies for everyday users? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
44,Pricing,driverless car,"Based on affordability and value for money, which are the most budget-friendly driverless car companies for everyday users? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary."
